ID,METRO_AREA,Cities_Included,Bars_Raw,Bars_Rank,Museums_Raw,Museums_Rank,Sports_Raw,Sports_Rank,Annual_Income_Raw,Annual_Income_Rank,Monthly_Income_Raw,Monthly_Income_Rank,Monthly_Rent_Raw,Monthly_Rent_Rank,Rent_Income_Ratio_Raw,Rent_Income_Ratio_Rank,Price_of_Weed_Raw,Price_of_Weed_Rank,Farmers_Markets_Raw,Farmers_Markets_Rank,Pet_Friendly_Raw,Pet_Friendly_Rank,LGBTQ_Friendly_Raw,LGBTQ_Friendly_Rank,Food_Raw,Food_Rank,Music_Rank,Music_Rank,Safety_Raw,Safety_Rank,Shopping_Raw,Shopping_Rank,Fitness_Raw,Fitness_Rank,Parks_Raw,Parks_Rank,Transit_Raw,Transit_Rank,Bike_Raw,Bike_Rank,Walk_Raw,Walk_Rank
33,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis,3.078560951,24,0,0,14,14,31543,32,2628.583333,32,800,8,3.285729167,10,335.95,30,1.89,12,0,0,0,0,31,31,0,0,115,36,5,5,32.12,87,32,73,23.7,72,41.1,78,28.7,96
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia,4.096497052,13,3,3,21,21,36558,10,3046.5,10,1011,35,3.013353116,19,334.54,29,3.08,5,12,12,28,28,9,9,17,17,78,21,6,6,41.71,48,62.5,19,66.8,6,67.5,13,76.5,6
39,"Milwaukee-Waukesha-West Allis, WI Metro Area",Milwaukee,6.652143262,4,0,0,30,30,32310,23,2692.5,23,822,10,3.275547445,11,333.47,28,2.17,9,0,0,22,22,25,25,0,0,40,2,17,17,41.95,47,61.5,22,49.1,20,0,0,59.4,25
16,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis,2.328465731,32,17,17,16,16,37210,9,3100.833333,9,916,21,3.385189229,6,333.31,27,0,0,20,20,20,20,24,24,5,5,24,1,0,0,54.14,6,84,1,57.5,12,81.3,1,65.4,15
23,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,1.754614415,42,0,0,23,23,31213,34,2601.083333,34,847,14,3.070936639,18,332.07,26,0.99,27,0,0,0,0,35,35,0,0,107,31,11,11,32.34,86,31,74,0,0,36.1,91,24.4,105
46,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford,2.202294904,35,0,0,0,0,39037,6,3253.083333,6,995,32,3.269430486,12,330.53,25,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Austin-Round Rock, TX Metro Area",Austin,4.094521589,14,24,24,25,25,32370,22,2697.5,22,1014,36,2.66025641,37,328.6,24,1.21,22,0,0,0,0,6,6,2,2,67,15,12,12,40.1,54,57.5,31,33.5,48,51.7,47,35.4,74
20,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,3.240022515,22,0,0,29,29,40901,4,3408.416667,4,1141,42,2.987218814,22,328.05,23,3.53,3,25,25,0,0,27,27,0,0,97,26,3,3,36.61,71,50,40,57.8,11,56.1,32,66.2,13
4,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas,1.950965485,39,25,25,3,3,32992,16,2749.333333,16,923,24,2.978692669,23,326.46,22,0.98,28,9,9,0,0,19,19,25,25,67,15,2,2,32.66,84,50,40,39.5,30,43.7,68,43.6,45
9,"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta,0.987099003,51,13,13,18,18,32296,24,2691.333333,24,970,29,2.774570447,30,320.16,21,0,0,13,13,30,30,15,15,13,13,86,23,0,0,50.92,12,47.5,48,44.3,26,49.9,52,45.9,38
5,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston,2.685621644,28,0,0,12,12,32441,20,2703.416667,20,910,19,2.970787546,24,315.56,20,0.4,32,23,23,0,0,8,8,10,10,136,38,1,1,33.19,82,43.5,58,36.8,35,49.3,54,44.2,42
38,"Providence-Warwick, RI-MA Metro Area",Providence,5.576058781,7,0,0,0,0,32702,19,2725.166667,19,885,18,3.079284369,17,310.7,19,0,0,0,0,13,13,0,0,18,18,52,6,0,0,0,0,0,0,0,0,0,0,0,0
26,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando,1.960823413,38,20,20,27,27,27053,50,2254.416667,50,1032,37,2.184512274,46,308,18,0,0,0,0,0,0,0,0,0,0,113,35,0,0,56.26,2,0,0,32.5,50,53,44,39.3,59
25,"San Antonio-New Braunfels, TX Metro Area",San Antonio,4.659370945,8,23,23,0,0,27948,48,2329,48,865,17,2.692485549,35,302.36,17,1.04,26,0,0,0,0,26,26,0,0,83,22,8,8,31.81,89,42.5,60,36.3,38,42,77,33.7,80
40,"Jacksonville, FL Metro Area",Jacksonville,2.364852678,31,0,0,0,0,30914,37,2576.166667,37,964,27,2.672372061,36,297.61,16,0.94,30,0,0,0,0,39,39,0,0,141,39,9,9,38.49,63,38.5,68,0,0,39.5,86,25.5,103
13,"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix,2.268391265,33,21,21,11,11,31711,29,2642.583333,29,953,26,2.772910108,31,293.95,15,0.39,33,11,11,0,0,29,29,0,0,66,14,7,7,57.01,1,55,37,32.2,51,58.5,28,38.3,66
18,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa,3.624088379,17,0,0,0,0,30270,43,2522.5,43,951,25,2.652471083,38,287.66,14,0,0,22,22,0,0,0,0,0,0,101,28,0,0,55.79,3,56.5,34,34.7,45,56.1,32,46.3,37
50,"Salt Lake City, UT Metro Area",Salt Lake City,1.857810465,41,0,0,0,0,30129,44,2510.75,44,919,22,2.732045702,34,286.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Detroit-Warren-Dearborn, MI Metro Area",Detroit,3.249432769,21,0,0,10,10,31548,31,2629,31,846,13,3.107565012,16,280.51,12,1.32,20,0,0,0,0,14,14,23,23,62,12,14,14,35.31,76,42.5,60,37.9,33,55,38,52.2,30
31,"Las Vegas-Henderson-Paradise, NV Metro Area",Las Vegas,6.319375015,5,15,15,24,24,30590,40,2549.166667,40,1009,34,2.526428807,42,279.41,11,1.14,23,0,0,25,25,21,21,15,15,105,29,0,0,53.34,9,62.5,19,35.1,43,53.1,43,45.5,39
2,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles,1.981638809,37,11,11,28,28,30419,42,2534.916667,42,1284,46,1.974234164,50,276.65,10,0.97,29,16,16,1,1,10,10,6,6,71,19,16,16,44.42,35,63.5,18,51.3,17,66.4,14,65.8,14
8,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami,2.419185227,30,22,22,9,9,27657,49,2304.75,49,1136,41,2.028829225,49,273.79,9,0,0,21,21,0,0,18,18,20,20,144,40,0,0,43.38,40,50,40,59.4,9,59.7,25,75.6,7
17,"San Diego-Carlsbad, CA Metro Area",San Diego,2.920204967,26,16,16,0,0,32722,18,2726.833333,18,1328,47,2.053338353,47,270.13,8,1.59,17,10,10,14,14,20,20,0,0,65,13,10,10,46.46,25,71.5,9,36.7,36,45.5,64,48.5,34
11,"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco,3.567275322,18,6,6,5,5,42175,3,3514.583333,3,1446,48,2.430555556,44,262.81,7,3.28,4,1,1,3,3,4,4,22,22,93,25,25,25,45.46,27,77.5,4,80.4,2,75.1,2,83.9,3
15,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle,2.968656054,25,12,12,13,13,38818,7,3234.833333,7,1128,40,2.867760047,27,252.34,6,2.54,7,2,2,6,6,7,7,14,14,44,4,24,24,48.12,22,71.5,9,57,13,63,17,70.8,10
21,"Denver-Aurora-Lakewood, CO Metro Area",Denver,3.517821486,20,7,7,15,15,35947,11,2995.583333,11,998,33,3.001586506,21,244.59,5,2.26,8,3,3,9,9,17,17,19,19,59,10,13,13,50.25,15,66.5,13,46.9,23,71.3,5,55.7,29
34,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose,1.679559867,45,0,0,0,0,44787,2,3732.25,2,1629,50,2.291129527,45,242.31,4,1.77,14,0,0,17,17,33,33,0,0,54,7,20,20,37.39,65,60,29,41,29,56.9,32,48.1,35
12,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside,1.88423765,40,0,0,0,0,28137,47,2344.75,47,1145,43,2.047816594,48,228.05,3,0,0,17,17,24,24,0,0,0,0,108,32,0,0,43.53,39,50,40,37.6,34,49.9,52,38.9,60
24,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland,5.708962059,6,18,18,0,0,31984,26,2665.333333,26,968,28,2.753443526,32,216.71,2,3.87,2,5,5,16,16,5,5,16,16,41,3,0,0,49.49,17,76.5,5,50.8,18,72,4,62.8,19
27,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",Sacramento,2.580902588,29,0,0,0,0,32874,17,2739.5,17,1071,38,2.557889823,40,207.47,1,0,0,0,0,19,19,0,0,0,0,88,24,0,0,50.63,14,66.5,13,33.8,47,68.9,11,43.4,47
